Geneid	gene_name	control_R1	control_R2	control_R3	sox8_oe_R1	sox8_oe_R2	sox8_oe_R3
ENSGALG00000054818	NA	0	1	0	1	0	0
ENSGALG00000053455	NA	4	0	0	1	21	0
ENSGALG00000045540	NA	655	953	666	575	237	309
ENSGALG00000051297	NA	1013	1386	938	933	642	734
ENSGALG00000042023	NA	1569	2417	1506	1397	858	854
ENSGALG00000047594	RF00004	0	0	0	0	4	0
ENSGALG00000049206	RF00004	0	0	0	0	0	0
ENSGALG00000029624	DHRS4	207	794	269	681	1565	1084
ENSGALG00000038527	CARMIL3	32	83	37	63	194	101
ENSGALG00000052679	NA	10	39	72	46	93	62
ENSGALG00000046962	NA	2	0	0	0	14	32
ENSGALG00000042611	NA	1033	1541	1021	811	398	507
ENSGALG00000048560	NA	14	1	10	9	7	3
ENSGALG00000050315	CLC2DL3	2020	2897	2305	2738	1291	1514
ENSGALG00000048857	NA	6	4	35	12	12	17
ENSGALG00000049873	NA	39	126	81	44	153	112
ENSGALG00000053510	NA	353	572	436	494	190	208
ENSGALG00000050833	NA	1	1	0	1	5	0
ENSGALG00000051677	NA	10	29	19	39	2	7
ENSGALG00000031626	NA	2	5	1	0	37	13
ENSGALG00000041494	GOLGB1	1339	2760	1584	2630	3518	4321
ENSGALG00000039682	HCLS1	2	8	8	3	13	11
ENSGALG00000038044	NME6	897	1250	1063	1177	293	571
ENSGALG00000032458	RABL2B	2146	2997	2641	2431	1495	1618
ENSGALG00000047768	ACR	1	3	34	0	1	4
ENSGALG00000035824	ARSA	407	861	493	986	714	477
ENSGALG00000034366	ACR	1	0	2	0	2	0
ENSGALG00000050523	gga-mir-12207	0	0	0	0	0	0
ENSGALG00000033919	NA	60	90	45	60	448	342
ENSGALG00000034440	gga-mir-6708	0	0	3	0	0	1
ENSGALG00000038707	gga-mir-1604	0	0	0	0	0	0
ENSGALG00000051055	MAPK8IP2	3	17	4	0	24	7
ENSGALG00000052929	NA	0	0	0	0	0	0
ENSGALG00000054904	NA	0	0	2	0	0	2
ENSGALG00000053146	NA	0	0	0	0	0	0
ENSGALG00000051631	NA	0	0	0	1	0	0
ENSGALG00000047599	NA	0	0	0	0	0	0
ENSGALG00000054762	NA	0	0	0	0	0	0
ENSGALG00000053751	NA	0	0	0	0	0	0
ENSGALG00000046797	NA	9	31	25	12	210	109
ENSGALG00000050267	CALU	5	23	39	27	35	47
ENSGALG00000047194	NA	0	4	8	1	34	32
ENSGALG00000048328	NA	2	0	1	0	0	0
ENSGALG00000031473	NA	0	1	4	0	15	1
ENSGALG00000054662	NA	0	0	1	1	1	1
ENSGALG00000048059	NA	0	0	0	1	1	5
ENSGALG00000053846	NA	33	270	77	95	723	467
ENSGALG00000048724	NA	0	0	0	0	0	0
ENSGALG00000054163	NA	19	13	12	2	36	34
ENSGALG00000051962	NA	8	3	1	0	7	23
ENSGALG00000047166	NA	0	0	0	3	17	3
ENSGALG00000048258	NA	2	7	12	9	10	13
ENSGALG00000054512	NA	2	4	2	3	8	0
ENSGALG00000050846	NA	0	0	0	0	0	0
ENSGALG00000053334	NA	0	1	0	0	8	2
ENSGALG00000034086	NA	0	0	0	0	1	0
ENSGALG00000051114	NA	0	0	0	0	0	0
ENSGALG00000054903	NA	0	1	2	0	13	4
ENSGALG00000050519	NA	0	0	0	0	1	1
ENSGALG00000049223	NA	0	1	0	0	5	0
ENSGALG00000048878	NA	0	0	0	0	0	2
ENSGALG00000049687	NA	0	0	0	0	0	0
ENSGALG00000053590	NA	0	0	0	0	0	0
ENSGALG00000054297	NA	0	27	7	41	0	16
ENSGALG00000049264	NA	237	480	251	378	777	291
ENSGALG00000043476	ARF5	788	1256	748	1027	746	671
ENSGALG00000033149	GCC1	285	387	278	315	438	444
ENSGALG00000043771	DENND6B	300	435	444	534	430	244
ENSGALG00000029341	PPP6R2	353	710	354	313	507	475
ENSGALG00000035085	gga-mir-1651	0	0	0	0	0	0
ENSGALG00000043178	SBF1	59	130	112	92	266	175
ENSGALG00000041965	MIOX	1	0	0	0	4	3
ENSGALG00000041528	LMF2	56	167	74	134	127	62
ENSGALG00000054793	NCAPH2	1784	2076	1780	964	715	995
ENSGALG00000046885	SCO2	46	241	128	201	922	343
ENSGALG00000039982	IRF5	12	3	17	24	84	20
ENSGALG00000039420	TNPO3	64	119	19	49	177	166
ENSGALG00000051854	NA	1303	2379	1423	1752	2474	1819
ENSGALG00000036114	SMO	70	380	149	135	291	265
ENSGALG00000032868	AHCYL2	938	1213	858	1547	850	898
ENSGALG00000038520	STRIP2	345	718	749	607	451	436
ENSGALG00000047596	SMKR1	164	275	216	297	283	228
ENSGALG00000040060	NRF1	295	690	404	414	835	662
ENSGALG00000054860	gga-mir-182	0	0	0	0	0	0
ENSGALG00000048065	gga-mir-96	0	0	0	0	0	0
ENSGALG00000024492	gga-mir-183	0	0	0	0	0	0
ENSGALG00000031975	UBE2H	3682	6687	4905	5358	2680	2909
ENSGALG00000008003	ZC3HC1	1562	2615	1555	2418	726	981
ENSGALG00000027129	gga-mir-6676	0	0	0	0	0	0
ENSGALG00000008013	KLHDC10	502	752	846	708	109	136
ENSGALG00000028816	gga-mir-6629	0	0	1	10	8	11
ENSGALG00000036140	NA	1	23	1	13	21	0
ENSGALG00000008036	TMEM209	7860	9065	8093	7942	1797	3014
ENSGALG00000008048	CPA2	0	0	0	0	0	11
ENSGALG00000027296	CPA5	31	0	0	0	6	37
ENSGALG00000008087	CPA1	5	0	8	2	37	110
ENSGALG00000008103	CEP41	1608	2244	1852	2675	1245	1595
ENSGALG00000008111	MEST	1459	1747	1599	1895	602	723
ENSGALG00000008144	COPG2	7066	6867	7665	7563	1935	1932
ENSGALG00000008153	NA	35	72	21	45	86	102
ENSGALG00000008162	FBH1	465	443	496	488	112	226
ENSGALG00000008168	ANKRD16	476	624	613	828	304	320
ENSGALG00000008169	GDI2	17341	21416	17476	19384	7065	8980
ENSGALG00000055101	TASOR2	197	356	145	122	745	610
ENSGALG00000053060	NA	0	1	2	0	0	0
ENSGALG00000008401	ASB13	615	641	441	487	222	218
ENSGALG00000008424	CALML3	0	6	2	0	30	38
ENSGALG00000008437	NET1	4148	7164	4690	9176	3328	3752
ENSGALG00000050230	NA	131	228	177	198	165	257
ENSGALG00000047026	NA	65	108	75	80	42	33
ENSGALG00000008444	TUBAL3	1027	1202	906	1135	428	530
ENSGALG00000032978	UCN3	0	0	0	1	0	0
ENSGALG00000018270	gga-mir-205b	0	0	1	0	0	0
ENSGALG00000047442	NA	82	197	171	108	200	245
ENSGALG00000038187	SLC35B4	506	541	317	493	253	346
ENSGALG00000037842	LRGUK	373	295	276	442	170	181
ENSGALG00000008477	EXOC4	2520	2896	3605	3253	889	975
ENSGALG00000028216	gga-mir-6659	5	13	19	1	13	14
ENSGALG00000006489	CHCHD3	23951	24585	24435	22273	6697	7277
ENSGALG00000048978	NA	0	0	0	0	3	0
ENSGALG00000006473	PLXNA4	732	739	921	99	400	327
ENSGALG00000047970	NA	0	0	0	0	0	0
ENSGALG00000027460	gga-mir-6621	0	0	1	0	0	0
ENSGALG00000052521	NA	0	0	0	0	0	0
ENSGALG00000047975	NA	0	2	1	5	0	40
ENSGALG00000006409	PODXL	9214	15624	10579	9169	7890	7362
ENSGALG00000006356	MKLN1	6036	4770	5746	5673	1365	2234
ENSGALG00000051559	NA	108	32	117	112	89	33
ENSGALG00000048728	NA	1	6	21	2	2	15
ENSGALG00000047050	NA	0	0	0	0	0	7
ENSGALG00000048519	NA	0	0	7	7	0	0
ENSGALG00000050475	NA	0	0	0	0	1	5
ENSGALG00000052368	NA	1	0	0	0	0	0
ENSGALG00000018236	gga-mir-29b-1	0	0	0	0	0	0
ENSGALG00000018235	gga-mir-29a	0	0	0	0	2	0
ENSGALG00000041978	K123	0	0	5	1	1	0
ENSGALG00000042471	IL2RA	5	0	0	0	0	0
ENSGALG00000006332	RBM17	3776	6288	4588	5500	3486	3539
ENSGALG00000040369	PFKFB3	251	450	360	281	268	386
ENSGALG00000034970	NA	114	136	139	284	32	2
ENSGALG00000048616	NA	0	0	0	0	2	0
ENSGALG00000009279	SFMBT2	42	67	65	71	179	158
ENSGALG00000053050	NA	8	12	0	3	2	0
ENSGALG00000029446	NA	419	415	327	250	86	121
ENSGALG00000006891	ITIH5	0	0	0	34	0	0
ENSGALG00000006833	ITIH2	61	39	61	65	84	64
ENSGALG00000030702	KIN	1358	1355	1550	1168	892	844
ENSGALG00000006753	ATP5F1C	55874	58926	55828	62885	8260	13839
ENSGALG00000006731	TAF3	1509	2580	2220	2169	3458	2415
ENSGALG00000029270	GATA3	3532	5894	3950	8608	3284	4020
ENSGALG00000048044	NA	3	1	16	17	0	4
ENSGALG00000050432	NA	0	0	0	0	0	1
ENSGALG00000050900	NA	0	0	0	0	0	0
ENSGALG00000047165	NA	0	5	7	4	0	2
ENSGALG00000049441	NA	20	47	1	28	25	22
ENSGALG00000034590	CELF2	1324	1670	1280	905	270	547
ENSGALG00000025441	gga-mir-1626	0	0	5	0	0	16
